#NAME,McM22_E41_T16_0-3cm_S1,McM22_E41_T16_3-6cm_S2,McM22_E41_T16_6-9cm,McM22_E42_T16_0-3cm_S4,McM22_E42_T16_3-6cm_S5,McM22_E42_T16_6-9cm_S6,McM22_E43_T16_0-3cm_S7,McM22_E43_T16_3-6cm_S8,McM22_E43_T16_6-9cm_S9,McM22_E44_T16_0-3cm_S10,McM22_E44_T16_3-6cm,McM22_E44_T16_6-9cm_S12,McM22_E4_T0_0-3cm_S13,McM22_E4_T0_3-6cm_S14,McM22_E4_T0_6-9cm_S15,McM22_E51_B,McM22_E52_B_S17,McM22_E53_B_S18,McM22_E1_A_S19,McM22_E1_B_S20,McM22_E31_T12_0-3_cm_S21,McM22_E32_T12_0-3_cm_S22,McM23_E12_T0_13CH4_S23,McM23_E12_T0_13CH4_O2_S24,McM23_E12_TF_CH4_S25,McM23_E12_TF_-CH4_S26,McM23_E12_TF_CH4_O2_S27,McM23_E12_TF_-CH4_O2_S28,McM23_E14_T0_13CH4_S29,McM23_E14_T0_13CH4_O2_S30,McM23_E14_TF_CH4_S31,McM23_E14_TF_-CH4_S32,McM23_E14_TF_CH4_O2_S33,McM23_E14_TF_-CH4_C6301_C6328O2_S34
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__;__,610,1155,643,628,1114,689,1090,1875,991,719,631,619,352,338,629,563,521,439,1363,1243,373,463,486,631,345,321,1032,807,498,424,270,729,372,596
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__[Desulfobacterium]_catecholicum_group;s__,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__uncultured;s__,4,4,0,0,3,0,0,2,5,0,0,2,0,0,4,2,17,7,5,2,0,9,0,2,4,3,3,5,0,0,0,4,5,6
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Candidatus_Peregrinibacteria;f__Candidatus_Peregrinibacteria;g__Candidatus_Peregrinibacteria;s__,0,26,20,5,13,33,3,45,33,0,8,10,2,11,23,6,9,10,0,7,9,9,18,3,12,9,0,2,92,5,27,70,2,16
d__Bacteria;__;__;__;__;__;__,277,302,226,318,386,288,370,685,526,313,162,373,190,211,399,351,274,298,257,298,368,325,567,303,342,354,400,263,691,337,414,883,181,310
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae;g__uncultured;s__,8,45,4,29,26,13,13,62,30,31,2,35,21,25,30,23,14,16,134,103,44,57,7,91,7,4,113,88,26,50,14,24,41,54
d__Bacteria;p__WS2;c__WS2;o__WS2;f__WS2;g__WS2;s__,0,0,0,0,2,2,0,14,13,0,2,6,2,5,5,7,17,4,9,10,4,9,62,0,29,46,0,0,115,8,71,125,8,14
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Candidatus_Abawacabacteria;f__Candidatus_Abawacabacteria;g__Candidatus_Abawacabacteria;s__,0,0,8,6,16,6,13,18,9,0,5,0,2,11,5,4,0,0,0,0,9,0,3,0,0,2,0,0,0,0,0,0,0,0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-15;f__SJA-15;g__SJA-15;s__,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,3,0,0,0,11,0,9,6,2,0,0,8,4,0,0,5
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Gracilibacteria;f__Gracilibacteria;g__Gracilibacteria;s__,37,96,39,70,114,41,72,208,92,54,39,39,30,50,104,134,131,107,36,44,49,70,159,54,82,130,59,89,63,41,33,59,38,49
d__Bacteria;p__Patescibacteria;c__ABY1;o__Candidatus_Magasanikbacteria;f__Candidatus_Magasanikbacteria;g__Candidatus_Magasanikbacteria;s__,0,0,0,0,4,3,2,9,8,0,2,0,0,3,8,2,0,3,0,0,0,0,10,2,7,5,0,0,2,0,0,6,0,2
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__GIF3;f__GIF3;g__GIF3;s__,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,2,3,11,0,0
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfolunaceae;g__Desulfofaba;s__,7,35,17,0,28,25,13,28,21,0,16,36,0,13,14,524,99,91,42,72,0,15,73,11,61,62,28,26,0,0,0,0,0,0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;__;__,0,3,0,0,0,10,0,7,4,0,0,5,7,0,8,14,22,0,36,18,0,13,19,0,32,20,0,0,46,3,21,53,0,7
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__ADurb.Bin120;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,0,0,8,0,0,22,8,21,26,0,5
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured;s__,36,308,399,54,292,238,69,374,691,42,105,286,38,122,407,319,257,280,95,59,287,324,1535,108,940,1039,143,55,1554,221,816,1682,186,386
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1;s__,7,0,6,5,0,2,8,11,8,0,0,0,10,6,0,0,0,0,5,5,0,12,6,0,0,7,0,3,13,3,7,23,5,18
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__AB-539-J10;s__,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,7,5,0,0,13,0,8,19,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured;s__,150,134,55,146,127,65,178,285,108,158,90,77,73,39,35,33,49,29,116,216,130,198,29,315,32,0,306,283,14,99,8,31,102,184
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;__;__,32,80,92,80,101,32,57,152,114,60,46,60,27,70,84,91,37,59,179,150,93,117,145,99,63,83,171,130,180,59,208,336,110,80
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__Vermiphilaceae;s__,0,0,0,0,0,2,0,7,16,0,0,0,0,5,3,10,6,11,7,10,5,5,7,22,2,0,19,2,14,0,6,8,0,3
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pirellula;s__,8,31,10,12,18,8,4,40,46,8,7,36,13,17,32,19,13,5,164,152,38,28,3,22,9,13,58,34,7,13,11,24,22,23
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;__;__;__,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,7,0,4,5,7,2,11,2,2,8,0,2
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae;g__Fuerstia;s__,22,74,49,55,75,25,46,109,52,40,24,22,17,22,35,13,14,15,80,68,18,34,14,80,21,8,121,96,59,34,8,19,31,47
d__Bacteria;p__Planctomycetota;c__Pla3_lineage;o__Pla3_lineage;f__Pla3_lineage;g__Pla3_lineage;s__,21,49,12,30,49,22,45,69,29,20,30,24,24,20,28,26,27,19,33,38,23,44,50,92,42,35,63,39,99,34,47,172,31,77
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula;s__,53,65,54,79,93,70,67,124,72,61,40,79,54,37,28,71,52,69,217,205,83,92,24,174,25,15,238,233,47,45,32,48,60,80
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Blastopirellula;s__,303,467,244,317,565,264,470,986,470,297,242,289,199,190,305,204,137,158,1950,1454,428,375,138,709,52,69,923,808,227,351,110,322,342,452
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maritimimonas;s__,857,2244,1140,914,1954,1341,1218,5112,1973,1036,1034,1212,386,619,775,604,615,751,63,38,821,1016,605,243,430,376,313,344,1063,643,696,1852,521,914
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__uncultured;s__,26,67,18,7,19,31,4,72,30,25,8,26,2,22,29,2,24,19,96,74,58,42,8,27,51,23,29,37,45,36,14,76,21,34
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta_2;s__,373,861,262,617,967,456,774,1709,952,633,446,613,254,378,463,551,536,365,159,246,365,398,233,105,275,299,401,276,402,179,279,645,175,295
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Gimesiaceae;g__Gimesia;s__,0,5,7,6,5,10,9,7,7,2,0,0,0,4,4,0,3,0,0,0,3,11,4,7,0,0,10,11,0,6,0,5,0,5
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae;g__Rubinisphaera;s__,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
