Taxon1,Taxon2,Correlation,P.value,Method
p__Chloroflexi,p__Asgardarchaeota,0.9825,0,secom_pearson1
p__Cloacimonadota,p__Asgardarchaeota,0.9663,0,secom_pearson1
p__Crenarchaeota,p__Asgardarchaeota,-0.6139,0.0337,secom_pearson1
p__Cyanobacteria,p__Asgardarchaeota,-0.7734,0.0032,secom_pearson1
p__Dependentiae,p__Asgardarchaeota,0.7986,0.0018,secom_pearson1
p__Desulfobacterota,p__Asgardarchaeota,0.651,0.0219,secom_pearson1
p__Diatomea,p__Asgardarchaeota,-0.8251,0.001,secom_pearson1
p__Elusimicrobiota,p__Asgardarchaeota,0.9279,1e-04,secom_pearson1
p__Fermentibacterota,p__Asgardarchaeota,0.9335,0,secom_pearson1
p__Gemmatimonadota,p__Asgardarchaeota,0.8301,8e-04,secom_pearson1
p__Halobacterota,p__Asgardarchaeota,0.6367,0.026,secom_pearson1
p__Hydrogenedentes,p__Asgardarchaeota,0.6501,0.0221,secom_pearson1
p__Latescibacterota,p__Asgardarchaeota,0.8833,1e-04,secom_pearson1
p__LCP_89,p__Asgardarchaeota,0.8632,3e-04,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Asgardarchaeota,0.9637,0,secom_pearson1
p__Myxococcota,p__Asgardarchaeota,-0.8415,6e-04,secom_pearson1
p__Nanoarchaeota,p__Asgardarchaeota,0.972,0,secom_pearson1
p__NB1_j,p__Asgardarchaeota,-0.9082,0,secom_pearson1
p__Nitrospinota,p__Asgardarchaeota,-0.8889,1e-04,secom_pearson1
p__Nitrospirota,p__Asgardarchaeota,-0.8382,7e-04,secom_pearson1
p__NKB15,p__Asgardarchaeota,0.864,0.0027,secom_pearson1
p__Patescibacteria,p__Asgardarchaeota,0.8816,1e-04,secom_pearson1
p__PAUC34f,p__Asgardarchaeota,0.8486,5e-04,secom_pearson1
p__Planctomycetota,p__Asgardarchaeota,-0.8722,2e-04,secom_pearson1
p__Proteobacteria,p__Asgardarchaeota,-0.9125,0,secom_pearson1
p__Spirochaetota,p__Asgardarchaeota,0.8602,3e-04,secom_pearson1
p__Sumerlaeota,p__Asgardarchaeota,0.7906,0.0065,secom_pearson1
p__Sva0485,p__Asgardarchaeota,0.7902,0.0022,secom_pearson1
p__Thermoplasmatota,p__Asgardarchaeota,0.9748,0,secom_pearson1
p__Verrucomicrobiota,p__Asgardarchaeota,-0.8979,1e-04,secom_pearson1
p__WOR_1,p__Asgardarchaeota,0.876,0.002,secom_pearson1
p__WPS_2,p__Asgardarchaeota,-0.8197,0.0068,secom_pearson1
p__WS1,p__Asgardarchaeota,0.9282,3e-04,secom_pearson1
p__WS2,p__Asgardarchaeota,0.7496,0.0201,secom_pearson1
p__Zixibacteria,p__Asgardarchaeota,0.9634,0,secom_pearson1
Not_Assigned,p__Bacteroidota,-0.9133,0,secom_pearson1
p__Acetothermia,p__Bacteroidota,-0.8437,0.0042,secom_pearson1
p__Acidobacteriota,p__Bacteroidota,-0.847,5e-04,secom_pearson1
p__Actinobacteriota,p__Bacteroidota,-0.9213,0,secom_pearson1
p__Asgardarchaeota,p__Bacteroidota,-0.8313,8e-04,secom_pearson1
p__Bdellovibrionota,p__Bacteroidota,0.8366,7e-04,secom_pearson1
p__Caldatribacteriota,p__Bacteroidota,-0.8124,0.0024,secom_pearson1
p__Calditrichota,p__Bacteroidota,-0.9152,0,secom_pearson1
p__Chloroflexi,p__Bacteroidota,-0.8354,7e-04,secom_pearson1
p__Cloacimonadota,p__Bacteroidota,-0.7374,0.0062,secom_pearson1
p__Cyanobacteria,p__Bacteroidota,0.7303,0.007,secom_pearson1
p__Dependentiae,p__Bacteroidota,-0.8715,2e-04,secom_pearson1
p__Diatomea,p__Bacteroidota,0.6689,0.0174,secom_pearson1
p__Elusimicrobiota,p__Bacteroidota,-0.9318,1e-04,secom_pearson1
p__Fermentibacterota,p__Bacteroidota,-0.6531,0.0213,secom_pearson1
p__Gemmatimonadota,p__Bacteroidota,-0.871,2e-04,secom_pearson1
p__Halobacterota,p__Bacteroidota,-0.6569,0.0203,secom_pearson1
p__Latescibacterota,p__Bacteroidota,-0.5912,0.0429,secom_pearson1
p__LCP_89,p__Bacteroidota,-0.7553,0.0045,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Bacteroidota,-0.8642,3e-04,secom_pearson1
p__Myxococcota,p__Bacteroidota,0.6362,0.0262,secom_pearson1
p__Nanoarchaeota,p__Bacteroidota,-0.7925,0.0021,secom_pearson1
p__NB1_j,p__Bacteroidota,0.8523,4e-04,secom_pearson1
p__Nitrospinota,p__Bacteroidota,0.6394,0.0252,secom_pearson1
p__Nitrospirota,p__Bacteroidota,0.6973,0.0117,secom_pearson1
p__NKB15,p__Bacteroidota,-0.685,0.0417,secom_pearson1
p__Patescibacteria,p__Bacteroidota,-0.777,0.0029,secom_pearson1
p__PAUC34f,p__Bacteroidota,-0.7943,0.002,secom_pearson1
p__Planctomycetota,p__Bacteroidota,0.6808,0.0148,secom_pearson1
p__Proteobacteria,p__Bacteroidota,0.8833,1e-04,secom_pearson1
p__Spirochaetota,p__Bacteroidota,-0.7113,0.0095,secom_pearson1
p__Sumerlaeota,p__Bacteroidota,-0.7156,0.02,secom_pearson1
p__Thermoplasmatota,p__Bacteroidota,-0.8385,7e-04,secom_pearson1
p__Verrucomicrobiota,p__Bacteroidota,0.933,0,secom_pearson1
p__WOR_1,p__Bacteroidota,-0.8692,0.0023,secom_pearson1
p__WPS_2,p__Bacteroidota,0.8453,0.0041,secom_pearson1
p__WS1,p__Bacteroidota,-0.9555,1e-04,secom_pearson1
p__WS2,p__Bacteroidota,-0.8893,0.0013,secom_pearson1
p__Zixibacteria,p__Bacteroidota,-0.8571,4e-04,secom_pearson1
Not_Assigned,p__Bdellovibrionota,-0.7858,0.0024,secom_pearson1
p__Acetothermia,p__Bdellovibrionota,-0.7816,0.0129,secom_pearson1
p__Acidobacteriota,p__Bdellovibrionota,-0.8326,8e-04,secom_pearson1
p__Actinobacteriota,p__Bdellovibrionota,-0.9376,0,secom_pearson1
p__Asgardarchaeota,p__Bdellovibrionota,-0.9004,1e-04,secom_pearson1
p__Bacteroidota,p__Bdellovibrionota,0.8366,7e-04,secom_pearson1
p__Caldatribacteriota,p__Bdellovibrionota,-0.8434,0.0011,secom_pearson1
p__Calditrichota,p__Bdellovibrionota,-0.8496,5e-04,secom_pearson1
p__Chloroflexi,p__Bdellovibrionota,-0.9086,0,secom_pearson1
p__Cloacimonadota,p__Bdellovibrionota,-0.8619,3e-04,secom_pearson1
p__Cyanobacteria,p__Bdellovibrionota,0.7636,0.0039,secom_pearson1
p__Dependentiae,p__Bdellovibrionota,-0.7145,0.009,secom_pearson1
p__Desulfobacterota,p__Bdellovibrionota,-0.5878,0.0445,secom_pearson1
p__Diatomea,p__Bdellovibrionota,0.7384,0.0061,secom_pearson1
p__Elusimicrobiota,p__Bdellovibrionota,-0.886,6e-04,secom_pearson1
p__Fermentibacterota,p__Bdellovibrionota,-0.7794,0.0028,secom_pearson1
p__Gemmatimonadota,p__Bdellovibrionota,-0.82,0.0011,secom_pearson1
p__Halobacterota,p__Bdellovibrionota,-0.6596,0.0196,secom_pearson1
p__Hydrogenedentes,p__Bdellovibrionota,-0.6798,0.015,secom_pearson1
p__Latescibacterota,p__Bdellovibrionota,-0.7697,0.0034,secom_pearson1
p__LCP_89,p__Bdellovibrionota,-0.8925,1e-04,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Bdellovibrionota,-0.9115,0,secom_pearson1
p__Myxococcota,p__Bdellovibrionota,0.8114,0.0014,secom_pearson1
p__Nanoarchaeota,p__Bdellovibrionota,-0.8729,2e-04,secom_pearson1
p__NB1_j,p__Bdellovibrionota,0.864,3e-04,secom_pearson1
p__Nitrospinota,p__Bdellovibrionota,0.8272,9e-04,secom_pearson1
p__Nitrospirota,p__Bdellovibrionota,0.7383,0.0061,secom_pearson1
p__NKB15,p__Bdellovibrionota,-0.7403,0.0226,secom_pearson1
p__Patescibacteria,p__Bdellovibrionota,-0.8338,8e-04,secom_pearson1
p__PAUC34f,p__Bdellovibrionota,-0.7759,0.003,secom_pearson1
p__Planctomycetota,p__Bdellovibrionota,0.7683,0.0035,secom_pearson1
p__Proteobacteria,p__Bdellovibrionota,0.8688,2e-04,secom_pearson1
p__Spirochaetota,p__Bdellovibrionota,-0.895,1e-04,secom_pearson1
p__Sumerlaeota,p__Bdellovibrionota,-0.7325,0.016,secom_pearson1
p__Sva0485,p__Bdellovibrionota,-0.6672,0.0178,secom_pearson1
p__Thermoplasmatota,p__Bdellovibrionota,-0.9113,0,secom_pearson1
p__Verrucomicrobiota,p__Bdellovibrionota,0.9081,0,secom_pearson1
p__WOR_1,p__Bdellovibrionota,-0.8568,0.0032,secom_pearson1
p__WPS_2,p__Bdellovibrionota,0.8985,0.001,secom_pearson1
p__WS1,p__Bdellovibrionota,-0.8502,0.0037,secom_pearson1
p__WS2,p__Bdellovibrionota,-0.7575,0.0181,secom_pearson1
p__Zixibacteria,p__Bdellovibrionota,-0.9012,1e-04,secom_pearson1
Not_Assigned,p__Caldatribacteriota,0.8564,8e-04,secom_pearson1
p__Acetothermia,p__Caldatribacteriota,0.897,0.001,secom_pearson1
p__Acidobacteriota,p__Caldatribacteriota,0.7176,0.0129,secom_pearson1
p__Actinobacteriota,p__Caldatribacteriota,0.9015,1e-04,secom_pearson1
p__Asgardarchaeota,p__Caldatribacteriota,0.9414,0,secom_pearson1
p__Bacteroidota,p__Caldatribacteriota,-0.8124,0.0024,secom_pearson1
p__Bdellovibrionota,p__Caldatribacteriota,-0.8434,0.0011,secom_pearson1
p__Calditrichota,p__Caldatribacteriota,0.8309,0.0015,secom_pearson1
p__Chloroflexi,p__Caldatribacteriota,0.9694,0,secom_pearson1
p__Cloacimonadota,p__Caldatribacteriota,0.9841,0,secom_pearson1
p__Crenarchaeota,p__Caldatribacteriota,-0.6647,0.0257,secom_pearson1
p__Cyanobacteria,p__Caldatribacteriota,-0.8632,6e-04,secom_pearson1
p__Dependentiae,p__Caldatribacteriota,0.7567,0.007,secom_pearson1
p__Desulfobacterota,p__Caldatribacteriota,0.6957,0.0174,secom_pearson1
p__Diatomea,p__Caldatribacteriota,-0.7423,0.0089,secom_pearson1
p__Elusimicrobiota,p__Caldatribacteriota,0.8645,0.0012,secom_pearson1
p__Fermentibacterota,p__Caldatribacteriota,0.938,0,secom_pearson1
p__Gemmatimonadota,p__Caldatribacteriota,0.8399,0.0012,secom_pearson1
p__Hydrogenedentes,p__Caldatribacteriota,0.679,0.0216,secom_pearson1
p__Latescibacterota,p__Caldatribacteriota,0.9311,0,secom_pearson1
p__LCP_89,p__Caldatribacteriota,0.8522,9e-04,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Caldatribacteriota,0.9469,0,secom_pearson1
p__Myxococcota,p__Caldatribacteriota,-0.876,4e-04,secom_pearson1
p__Nanoarchaeota,p__Caldatribacteriota,0.9912,0,secom_pearson1
p__NB1_j,p__Caldatribacteriota,-0.8836,3e-04,secom_pearson1
p__Nitrospinota,p__Caldatribacteriota,-0.8958,2e-04,secom_pearson1
p__Nitrospirota,p__Caldatribacteriota,-0.7112,0.0141,secom_pearson1
p__NKB15,p__Caldatribacteriota,0.6896,0.0398,secom_pearson1
p__Patescibacteria,p__Caldatribacteriota,0.8556,8e-04,secom_pearson1
p__PAUC34f,p__Caldatribacteriota,0.8781,4e-04,secom_pearson1
p__Planctomycetota,p__Caldatribacteriota,-0.8461,0.001,secom_pearson1
p__Proteobacteria,p__Caldatribacteriota,-0.8331,0.0014,secom_pearson1
p__Spirochaetota,p__Caldatribacteriota,0.9346,0,secom_pearson1
p__Sumerlaeota,p__Caldatribacteriota,0.8596,0.003,secom_pearson1
p__Sva0485,p__Caldatribacteriota,0.838,0.0013,secom_pearson1
p__Thermoplasmatota,p__Caldatribacteriota,0.9554,0,secom_pearson1
p__Verrucomicrobiota,p__Caldatribacteriota,-0.8403,0.0012,secom_pearson1
p__WOR_1,p__Caldatribacteriota,0.748,0.0328,secom_pearson1
p__WPS_2,p__Caldatribacteriota,-0.8046,0.016,secom_pearson1
p__WS1,p__Caldatribacteriota,0.9191,5e-04,secom_pearson1
p__WS2,p__Caldatribacteriota,0.9344,2e-04,secom_pearson1
p__Zixibacteria,p__Caldatribacteriota,0.9409,0,secom_pearson1
p__Asgardarchaeota,p__Calditrichota,0.8971,1e-04,secom_pearson1
p__Bacteroidota,p__Calditrichota,-0.9152,0,secom_pearson1
p__Bdellovibrionota,p__Calditrichota,-0.8496,5e-04,secom_pearson1
p__Caldatribacteriota,p__Calditrichota,0.8309,0.0015,secom_pearson1
p__Cloacimonadota,p__Calditrichota,0.8183,0.0011,secom_pearson1
p__Cyanobacteria,p__Calditrichota,-0.7011,0.0111,secom_pearson1
p__Dependentiae,p__Calditrichota,0.9531,0,secom_pearson1
p__Diatomea,p__Calditrichota,-0.8264,9e-04,secom_pearson1
p__Fermentibacterota,p__Calditrichota,0.7428,0.0057,secom_pearson1
p__Latescibacterota,p__Calditrichota,0.6283,0.0287,secom_pearson1
p__LCP_89,p__Calditrichota,0.8733,2e-04,secom_pearson1
p__Myxococcota,p__Calditrichota,-0.689,0.0132,secom_pearson1
p__Nanoarchaeota,p__Calditrichota,0.8494,5e-04,secom_pearson1
p__NB1_j,p__Calditrichota,-0.9536,0,secom_pearson1
p__Nitrospinota,p__Calditrichota,-0.734,0.0066,secom_pearson1
p__Nitrospirota,p__Calditrichota,-0.9199,0,secom_pearson1
p__NKB15,p__Calditrichota,0.9216,4e-04,secom_pearson1
p__PAUC34f,p__Calditrichota,0.8129,0.0013,secom_pearson1
p__Planctomycetota,p__Calditrichota,-0.8156,0.0012,secom_pearson1
p__Proteobacteria,p__Calditrichota,-0.9583,0,secom_pearson1
p__Verrucomicrobiota,p__Calditrichota,-0.977,0,secom_pearson1
p__WPS_2,p__Calditrichota,-0.9243,4e-04,secom_pearson1
p__Asgardarchaeota,p__Campilobacterota,-0.6062,0.0367,secom_pearson1
p__Cloacimonadota,p__Campilobacterota,-0.6167,0.0327,secom_pearson1
p__Desulfobacterota,p__Campilobacterota,-0.6609,0.0193,secom_pearson1
p__Diatomea,p__Campilobacterota,0.6383,0.0255,secom_pearson1
p__Gemmatimonadota,p__Campilobacterota,-0.632,0.0275,secom_pearson1
p__Hydrogenedentes,p__Campilobacterota,-0.8213,0.0011,secom_pearson1
p__Latescibacterota,p__Campilobacterota,-0.7339,0.0066,secom_pearson1
p__Nanoarchaeota,p__Campilobacterota,-0.6422,0.0243,secom_pearson1
p__Patescibacteria,p__Campilobacterota,-0.6023,0.0382,secom_pearson1
p__Proteobacteria,p__Campilobacterota,0.6024,0.0382,secom_pearson1
p__Spirochaetota,p__Campilobacterota,-0.6218,0.0309,secom_pearson1
p__Sumerlaeota,p__Campilobacterota,-0.6475,0.043,secom_pearson1
p__Sva0485,p__Campilobacterota,-0.6562,0.0205,secom_pearson1
p__Asgardarchaeota,p__Chloroflexi,0.9825,0,secom_pearson1
p__Bacteroidota,p__Chloroflexi,-0.8354,7e-04,secom_pearson1
p__Bdellovibrionota,p__Chloroflexi,-0.9086,0,secom_pearson1
p__Caldatribacteriota,p__Chloroflexi,0.9694,0,secom_pearson1
p__Cloacimonadota,p__Chloroflexi,0.9762,0,secom_pearson1
p__Crenarchaeota,p__Chloroflexi,-0.6237,0.0302,secom_pearson1
p__Cyanobacteria,p__Chloroflexi,-0.8295,8e-04,secom_pearson1
p__Dependentiae,p__Chloroflexi,0.7876,0.0024,secom_pearson1
p__Desulfobacterota,p__Chloroflexi,0.6387,0.0254,secom_pearson1
p__Diatomea,p__Chloroflexi,-0.8069,0.0015,secom_pearson1
p__Fermentibacterota,p__Chloroflexi,0.9269,0,secom_pearson1
p__Hydrogenedentes,p__Chloroflexi,0.6673,0.0177,secom_pearson1
p__Latescibacterota,p__Chloroflexi,0.8817,1e-04,secom_pearson1
p__LCP_89,p__Chloroflexi,0.911,0,secom_pearson1
p__Myxococcota,p__Chloroflexi,-0.8691,2e-04,secom_pearson1
p__Nanoarchaeota,p__Chloroflexi,0.9873,0,secom_pearson1
p__NB1_j,p__Chloroflexi,-0.9538,0,secom_pearson1
p__Nitrospinota,p__Chloroflexi,-0.896,1e-04,secom_pearson1
p__Nitrospirota,p__Chloroflexi,-0.84,6e-04,secom_pearson1
p__NKB15,p__Chloroflexi,0.8484,0.0038,secom_pearson1
p__PAUC34f,p__Chloroflexi,0.8341,7e-04,secom_pearson1
p__Planctomycetota,p__Chloroflexi,-0.9117,0,secom_pearson1
p__Proteobacteria,p__Chloroflexi,-0.9185,0,secom_pearson1
p__Sva0485,p__Chloroflexi,0.7803,0.0028,secom_pearson1
p__Verrucomicrobiota,p__Chloroflexi,-0.9266,0,secom_pearson1
p__WPS_2,p__Chloroflexi,-0.882,0.0017,secom_pearson1
Not_Assigned,p__Cloacimonadota,0.8036,0.0016,secom_pearson1
p__Acetothermia,p__Cloacimonadota,0.7465,0.0209,secom_pearson1
p__Acidobacteriota,p__Cloacimonadota,0.693,0.0125,secom_pearson1
p__Actinobacteriota,p__Cloacimonadota,0.8984,1e-04,secom_pearson1
p__Asgardarchaeota,p__Cloacimonadota,0.9663,0,secom_pearson1
p__Bacteroidota,p__Cloacimonadota,-0.7374,0.0062,secom_pearson1
p__Bdellovibrionota,p__Cloacimonadota,-0.8619,3e-04,secom_pearson1
p__Caldatribacteriota,p__Cloacimonadota,0.9841,0,secom_pearson1
p__Calditrichota,p__Cloacimonadota,0.8183,0.0011,secom_pearson1
p__Campilobacterota,p__Cloacimonadota,-0.6167,0.0327,secom_pearson1
p__Chloroflexi,p__Cloacimonadota,0.9762,0,secom_pearson1
p__Crenarchaeota,p__Cloacimonadota,-0.7585,0.0042,secom_pearson1
p__Cyanobacteria,p__Cloacimonadota,-0.8197,0.0011,secom_pearson1
p__Dependentiae,p__Cloacimonadota,0.6688,0.0174,secom_pearson1
p__Desulfobacterota,p__Cloacimonadota,0.7728,0.0032,secom_pearson1
p__Diatomea,p__Cloacimonadota,-0.7578,0.0043,secom_pearson1
p__Elusimicrobiota,p__Cloacimonadota,0.8701,0.0011,secom_pearson1
p__Fermentibacterota,p__Cloacimonadota,0.9673,0,secom_pearson1
p__Gemmatimonadota,p__Cloacimonadota,0.8138,0.0013,secom_pearson1
p__Hydrogenedentes,p__Cloacimonadota,0.6898,0.013,secom_pearson1
p__Latescibacterota,p__Cloacimonadota,0.948,0,secom_pearson1
p__LCP_89,p__Cloacimonadota,0.8717,2e-04,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Cloacimonadota,0.9521,0,secom_pearson1
p__Myxococcota,p__Cloacimonadota,-0.9089,0,secom_pearson1
p__Nanoarchaeota,p__Cloacimonadota,0.9886,0,secom_pearson1
p__NB1_j,p__Cloacimonadota,-0.8994,1e-04,secom_pearson1
p__Nitrospinota,p__Cloacimonadota,-0.9373,0,secom_pearson1
p__Nitrospirota,p__Cloacimonadota,-0.768,0.0035,secom_pearson1
p__NKB15,p__Cloacimonadota,0.7583,0.0179,secom_pearson1
p__Patescibacteria,p__Cloacimonadota,0.8144,0.0013,secom_pearson1
p__PAUC34f,p__Cloacimonadota,0.8245,0.001,secom_pearson1
p__Planctomycetota,p__Cloacimonadota,-0.8991,1e-04,secom_pearson1
p__Proteobacteria,p__Cloacimonadota,-0.8357,7e-04,secom_pearson1
p__Spirochaetota,p__Cloacimonadota,0.9058,0,secom_pearson1
p__Sumerlaeota,p__Cloacimonadota,0.8302,0.0029,secom_pearson1
p__Sva0485,p__Cloacimonadota,0.8869,1e-04,secom_pearson1
p__Thermoplasmatota,p__Cloacimonadota,0.9639,0,secom_pearson1
p__Verrucomicrobiota,p__Cloacimonadota,-0.8415,6e-04,secom_pearson1
p__WOR_1,p__Cloacimonadota,0.7874,0.0118,secom_pearson1
p__WPS_2,p__Cloacimonadota,-0.7583,0.0179,secom_pearson1
p__WS1,p__Cloacimonadota,0.9321,3e-04,secom_pearson1
p__WS2,p__Cloacimonadota,0.8357,0.005,secom_pearson1
p__Zixibacteria,p__Cloacimonadota,0.9459,0,secom_pearson1
p__Asgardarchaeota,p__Crenarchaeota,-0.6139,0.0337,secom_pearson1
p__Caldatribacteriota,p__Crenarchaeota,-0.6647,0.0257,secom_pearson1
p__Chloroflexi,p__Crenarchaeota,-0.6237,0.0302,secom_pearson1
p__Cloacimonadota,p__Crenarchaeota,-0.7585,0.0042,secom_pearson1
p__Desulfobacterota,p__Crenarchaeota,-0.9185,0,secom_pearson1
p__Fermentibacterota,p__Crenarchaeota,-0.8166,0.0012,secom_pearson1
p__Latescibacterota,p__Crenarchaeota,-0.8789,2e-04,secom_pearson1
